"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-02-08 02:00:00,-4.17 Wh,-4.40 Wh,-28.0 Wh,-4.37 Wh,0 Wh
2026-02-08 03:00:00,-4.18 Wh,-4.42 Wh,-28.0 Wh,-4.35 Wh,0 Wh
2026-02-08 04:00:00,-4.16 Wh,-4.48 Wh,-28.0 Wh,-4.37 Wh,0 Wh
2026-02-08 05:00:00,-5.91 Wh,-4.40 Wh,-28.2 Wh,-4.38 Wh,-12.9 Wh
2026-02-08 06:00:00,-6.33 Wh,-4.43 Wh,-27.9 Wh,-4.39 Wh,-26.0 Wh
2026-02-08 07:00:00,-6.61 Wh,-4.43 Wh,-28.7 Wh,-4.39 Wh,-25.7 Wh
2026-02-08 08:00:00,-4.17 Wh,-4.45 Wh,-28.3 Wh,-4.37 Wh,0 Wh
2026-02-08 09:00:00,-4.16 Wh,-4.41 Wh,-28.4 Wh,-4.37 Wh,0 Wh
2026-02-08 10:00:00,-4.15 Wh,-4.42 Wh,-28.8 Wh,-4.41 Wh,0 Wh
2026-02-08 11:00:00,-4.14 Wh,-4.39 Wh,-29.0 Wh,-4.42 Wh,0 Wh
2026-02-08 12:00:00,-5.10 Wh,-4.35 Wh,-29.0 Wh,-4.45 Wh,-11.8 Wh
2026-02-08 13:00:00,-5.47 Wh,-4.36 Wh,-29.7 Wh,-4.50 Wh,-13.8 Wh
2026-02-08 14:00:00,-5.79 Wh,-4.38 Wh,-29.1 Wh,-4.47 Wh,-16.9 Wh
2026-02-08 15:00:00,-4.17 Wh,-4.35 Wh,-29.3 Wh,-4.43 Wh,0 Wh
2026-02-08 16:00:00,-4.16 Wh,-4.42 Wh,-29.7 Wh,-4.43 Wh,0 Wh
2026-02-08 17:00:00,-4.18 Wh,-4.43 Wh,-29.3 Wh,-4.40 Wh,0 Wh
2026-02-08 18:00:00,-4.14 Wh,-4.45 Wh,-28.2 Wh,-4.41 Wh,0 Wh
2026-02-08 19:00:00,-4.16 Wh,-4.72 Wh,-26.9 Wh,-4.38 Wh,0 Wh
2026-02-08 20:00:00,-4.17 Wh,-4.61 Wh,-26.7 Wh,-4.38 Wh,0 Wh
2026-02-08 21:00:00,-6.04 Wh,-4.56 Wh,-27.5 Wh,-4.37 Wh,-21.8 Wh
2026-02-08 22:00:00,-5.15 Wh,-4.58 Wh,-28.5 Wh,-4.38 Wh,-13.0 Wh
2026-02-08 23:00:00,-6.33 Wh,-4.56 Wh,-28.6 Wh,-4.37 Wh,-31.1 Wh
2026-02-09 00:00:00,-6.39 Wh,-4.52 Wh,-28.1 Wh,-4.39 Wh,-41.4 Wh
2026-02-09 01:00:00,-6.63 Wh,-4.47 Wh,-28.5 Wh,-4.39 Wh,-130 Wh
2026-02-09 02:00:00,-6.61 Wh,-4.48 Wh,-27.9 Wh,-4.37 Wh,-136 Wh
2026-02-09 03:00:00,-5.14 Wh,-4.68 Wh,-27.9 Wh,-4.36 Wh,-44.5 Wh
2026-02-09 04:00:00,-4.11 Wh,-4.77 Wh,-28.0 Wh,-4.35 Wh,0 Wh
2026-02-09 05:00:00,-4.15 Wh,-4.50 Wh,-27.7 Wh,-4.32 Wh,-828 mWh
2026-02-09 06:00:00,-4.12 Wh,-4.53 Wh,-28.1 Wh,-4.34 Wh,0 Wh
2026-02-09 07:00:00,-4.11 Wh,-4.53 Wh,-28.5 Wh,-4.32 Wh,0 Wh
2026-02-09 08:00:00,-4.39 Wh,-4.47 Wh,-29.2 Wh,-4.35 Wh,-5.30 Wh
2026-02-09 09:00:00,-5.93 Wh,-4.41 Wh,-28.6 Wh,-4.44 Wh,-71.5 Wh
2026-02-09 10:00:00,-6.69 Wh,-4.47 Wh,-28.8 Wh,-4.37 Wh,-72.5 Wh
2026-02-09 11:00:00,-6.50 Wh,-4.44 Wh,-28.5 Wh,-4.38 Wh,-63.7 Wh
2026-02-09 12:00:00,-6.77 Wh,-4.50 Wh,-28.2 Wh,-4.39 Wh,-29.1 Wh
2026-02-09 13:00:00,-5.23 Wh,-4.39 Wh,-28.4 Wh,-4.39 Wh,-12.9 Wh
2026-02-09 14:00:00,-4.08 Wh,-4.31 Wh,-29.2 Wh,-4.39 Wh,0 Wh
2026-02-09 15:00:00,-4.13 Wh,-4.32 Wh,-28.0 Wh,-4.41 Wh,0 Wh
2026-02-09 16:00:00,-4.07 Wh,-4.23 Wh,-29.3 Wh,-4.40 Wh,0 Wh
2026-02-09 17:00:00,-4.11 Wh,-4.46 Wh,-28.0 Wh,-4.33 Wh,0 Wh
2026-02-09 18:00:00,-4.13 Wh,-4.39 Wh,-27.4 Wh,-4.37 Wh,0 Wh
2026-02-09 19:00:00,-4.15 Wh,-4.38 Wh,-29.2 Wh,-4.32 Wh,0 Wh
2026-02-09 20:00:00,-3.97 Wh,-4.14 Wh,-28.0 Wh,-4.32 Wh,0 Wh
2026-02-09 21:00:00,-4.10 Wh,-5.11 Wh,,-4.44 Wh,0 Wh
2026-02-09 22:00:00,-5.67 Wh,-4.53 Wh,-30.1 Wh,-4.34 Wh,-28.1 Wh
2026-02-09 23:00:00,-4.13 Wh,-4.52 Wh,-30.0 Wh,-4.36 Wh,-147 mWh
2026-02-10 00:00:00,-6.40 Wh,-4.44 Wh,-27.7 Wh,-4.35 Wh,-35.6 Wh
2026-02-10 01:00:00,-6.20 Wh,-4.54 Wh,-27.9 Wh,-4.35 Wh,-35.8 Wh
2026-02-10 02:00:00,-6.19 Wh,-4.48 Wh,-28.4 Wh,-4.35 Wh,-65.6 Wh
2026-02-10 03:00:00,-4.82 Wh,-4.43 Wh,-28.6 Wh,-4.33 Wh,-31.2 Wh
2026-02-10 04:00:00,-4.10 Wh,-4.40 Wh,-28.3 Wh,-4.36 Wh,0 Wh
2026-02-10 05:00:00,-4.11 Wh,-4.48 Wh,-28.3 Wh,-4.32 Wh,0 Wh
2026-02-10 06:00:00,-4.09 Wh,-4.63 Wh,-28.5 Wh,-4.35 Wh,0 Wh
2026-02-10 07:00:00,-4.09 Wh,-4.29 Wh,-28.9 Wh,-4.32 Wh,-188 mWh
2026-02-10 08:00:00,-6.81 Wh,-4.90 Wh,-28.3 Wh,-4.39 Wh,-81.8 Wh
2026-02-10 09:00:00,-6.60 Wh,-4.83 Wh,-27.7 Wh,-4.35 Wh,-81.6 Wh
2026-02-10 10:00:00,-6.56 Wh,-4.97 Wh,,-4.34 Wh,-81.6 Wh
2026-02-10 11:00:00,-6.38 Wh,-4.53 Wh,-28.2 Wh,-4.39 Wh,-81.4 Wh
2026-02-10 12:00:00,-6.10 Wh,-4.54 Wh,-28.3 Wh,-4.41 Wh,-27.9 Wh
2026-02-10 13:00:00,-5.52 Wh,-4.53 Wh,-27.0 Wh,-4.34 Wh,-31.8 Wh
2026-02-10 14:00:00,-4.78 Wh,-4.60 Wh,-25.7 Wh,-4.21 Wh,-10.3 Wh
2026-02-10 15:00:00,-6.55 Wh,-4.94 Wh,-25.8 Wh,-4.21 Wh,-36.2 Wh
2026-02-10 16:00:00,-6.29 Wh,-5.16 Wh,-26.0 Wh,-4.22 Wh,-44.5 Wh
2026-02-10 17:00:00,-4.25 Wh,-4.85 Wh,-25.9 Wh,-4.21 Wh,-9.63 Wh
2026-02-10 18:00:00,-4.08 Wh,-4.69 Wh,-26.1 Wh,-4.20 Wh,0 Wh
2026-02-10 19:00:00,-4.07 Wh,-4.57 Wh,-28.4 Wh,-4.19 Wh,0 Wh
2026-02-10 20:00:00,-4.06 Wh,-4.57 Wh,-28.4 Wh,-4.19 Wh,0 Wh
2026-02-10 21:00:00,-4.05 Wh,-4.48 Wh,-28.3 Wh,-4.19 Wh,0 Wh
2026-02-10 22:00:00,-5.25 Wh,-4.47 Wh,-27.7 Wh,-4.19 Wh,-21.2 Wh
2026-02-10 23:00:00,-6.66 Wh,-4.49 Wh,-27.9 Wh,-4.21 Wh,-40.1 Wh
2026-02-11 00:00:00,-6.54 Wh,-4.50 Wh,-28.1 Wh,-4.21 Wh,-92.6 Wh
2026-02-11 01:00:00,-5.88 Wh,-4.46 Wh,-28.3 Wh,-4.20 Wh,-63.5 Wh
2026-02-11 02:00:00,-5.78 Wh,-4.34 Wh,-28.7 Wh,-4.21 Wh,-18.6 Wh
2026-02-11 03:00:00,-6.36 Wh,-4.39 Wh,-28.6 Wh,-4.20 Wh,-45.6 Wh
2026-02-11 04:00:00,-6.31 Wh,-4.39 Wh,-29.2 Wh,-4.27 Wh,-47.8 Wh
2026-02-11 05:00:00,-6.28 Wh,-4.37 Wh,-30.1 Wh,-4.36 Wh,-72.2 Wh
2026-02-11 06:00:00,-6.66 Wh,-4.45 Wh,-28.5 Wh,-4.35 Wh,-108 Wh
2026-02-11 07:00:00,-6.63 Wh,-4.71 Wh,-29.1 Wh,-4.38 Wh,-71.9 Wh
2026-02-11 08:00:00,-5.81 Wh,-5.00 Wh,-28.6 Wh,-4.36 Wh,-52.7 Wh
2026-02-11 09:00:00,-6.74 Wh,-4.84 Wh,-27.8 Wh,-4.37 Wh,-72.4 Wh
2026-02-11 10:00:00,-5.78 Wh,-4.54 Wh,-28.8 Wh,-4.38 Wh,-47.4 Wh
2026-02-11 11:00:00,-4.04 Wh,-4.55 Wh,-28.2 Wh,-4.36 Wh,-320 mWh
2026-02-11 12:00:00,-4.89 Wh,-4.42 Wh,-28.1 Wh,-4.39 Wh,-29.0 Wh
2026-02-11 13:00:00,-4.58 Wh,-4.47 Wh,-27.8 Wh,-4.36 Wh,-17.7 Wh
2026-02-11 14:00:00,-4.08 Wh,-4.36 Wh,-27.3 Wh,-4.34 Wh,0 Wh
2026-02-11 15:00:00,-4.01 Wh,-4.43 Wh,-27.5 Wh,-4.36 Wh,0 Wh
2026-02-11 16:00:00,-4.02 Wh,-4.44 Wh,-27.8 Wh,-4.40 Wh,0 Wh
2026-02-11 17:00:00,-6.52 Wh,-4.52 Wh,-28.5 Wh,-4.35 Wh,-73.4 Wh
2026-02-11 18:00:00,-6.62 Wh,-4.70 Wh,-29.4 Wh,-4.36 Wh,-73.8 Wh
2026-02-11 19:00:00,-4.01 Wh,-4.97 Wh,-29.7 Wh,-4.34 Wh,0 Wh
2026-02-11 20:00:00,-4.01 Wh,-4.77 Wh,-29.9 Wh,-4.35 Wh,0 Wh
2026-02-11 21:00:00,-5.05 Wh,-4.53 Wh,-29.9 Wh,-4.32 Wh,-29.3 Wh
2026-02-11 22:00:00,-6.40 Wh,-4.49 Wh,-30.1 Wh,-4.36 Wh,-74.1 Wh
2026-02-11 23:00:00,-6.52 Wh,-4.42 Wh,-30.5 Wh,-4.34 Wh,-73.9 Wh
2026-02-12 00:00:00,-6.58 Wh,-4.48 Wh,-28.5 Wh,-4.37 Wh,-66.7 Wh
2026-02-12 01:00:00,-6.43 Wh,-4.43 Wh,-28.0 Wh,-4.34 Wh,-72.8 Wh
2026-02-12 02:00:00,-4.83 Wh,-4.42 Wh,-27.6 Wh,-4.37 Wh,-22.9 Wh
2026-02-12 03:00:00,-4.28 Wh,-4.42 Wh,-27.6 Wh,-4.32 Wh,-10.5 Wh
2026-02-12 04:00:00,-6.62 Wh,-4.18 Wh,,-4.33 Wh,-59.2 Wh
2026-02-12 05:00:00,-4.11 Wh,-4.41 Wh,,-4.32 Wh,-2.94 Wh
2026-02-12 06:00:00,-4.60 Wh,-4.63 Wh,,-4.38 Wh,-62.9 Wh
2026-02-12 07:00:00,-4.72 Wh,-4.13 Wh,,-4.23 Wh,-58.2 Wh
2026-02-12 08:00:00,-4.06 Wh,-4.55 Wh,,-4.34 Wh,0 Wh
