"Time","POB","VPB","Core Load Switches","Payload Load Switches","Motor","Solar"
2026-03-11 12:10:00,-737 Wh,0 Wh,-3.23 kWh,-541 Wh,-5.03 kWh,7.12 kWh
2026-03-11 12:20:00,-738 Wh,0 Wh,-3.23 kWh,-541 Wh,-5.04 kWh,7.15 kWh
2026-03-11 12:30:00,-739 Wh,0 Wh,-3.24 kWh,-542 Wh,-5.05 kWh,7.18 kWh
2026-03-11 12:40:00,-740 Wh,0 Wh,-3.24 kWh,-543 Wh,-5.05 kWh,7.21 kWh
2026-03-11 12:50:00,-741 Wh,0 Wh,-3.25 kWh,-544 Wh,-5.06 kWh,7.24 kWh
2026-03-11 13:00:00,-742 Wh,0 Wh,-3.25 kWh,-544 Wh,-5.07 kWh,7.27 kWh
2026-03-11 13:10:00,-743 Wh,0 Wh,-3.25 kWh,-545 Wh,-5.07 kWh,7.30 kWh
2026-03-11 13:20:00,-744 Wh,0 Wh,-3.26 kWh,-546 Wh,-5.08 kWh,7.33 kWh
2026-03-11 13:30:00,-745 Wh,0 Wh,-3.26 kWh,-547 Wh,-5.09 kWh,7.36 kWh
2026-03-11 13:40:00,-746 Wh,0 Wh,-3.27 kWh,-547 Wh,-5.10 kWh,7.39 kWh
2026-03-11 13:50:00,-747 Wh,0 Wh,-3.27 kWh,-548 Wh,-5.10 kWh,7.42 kWh
2026-03-11 14:00:00,-749 Wh,0 Wh,-3.28 kWh,-549 Wh,-5.11 kWh,7.45 kWh
2026-03-11 14:10:00,-750 Wh,0 Wh,-3.28 kWh,-549 Wh,-5.12 kWh,7.48 kWh
2026-03-11 14:20:00,-751 Wh,0 Wh,-3.29 kWh,-550 Wh,-5.12 kWh,7.51 kWh
2026-03-11 14:30:00,-752 Wh,0 Wh,-3.29 kWh,-551 Wh,-5.13 kWh,7.54 kWh
2026-03-11 14:40:00,-753 Wh,0 Wh,-3.29 kWh,-552 Wh,-5.14 kWh,7.57 kWh
2026-03-11 14:50:00,-754 Wh,0 Wh,-3.30 kWh,-552 Wh,-5.15 kWh,7.60 kWh
2026-03-11 15:00:00,-755 Wh,0 Wh,-3.30 kWh,-553 Wh,-5.15 kWh,7.63 kWh
2026-03-11 15:10:00,-756 Wh,0 Wh,-3.31 kWh,-554 Wh,-5.16 kWh,7.66 kWh
2026-03-11 15:20:00,-757 Wh,0 Wh,-3.31 kWh,-555 Wh,-5.17 kWh,7.69 kWh
2026-03-11 15:30:00,-758 Wh,0 Wh,-3.32 kWh,-555 Wh,-5.18 kWh,7.72 kWh
2026-03-11 15:40:00,-760 Wh,0 Wh,-3.32 kWh,-556 Wh,-5.18 kWh,7.75 kWh
2026-03-11 15:50:00,-761 Wh,0 Wh,-3.32 kWh,-557 Wh,-5.19 kWh,7.78 kWh
2026-03-11 16:00:00,-762 Wh,0 Wh,-3.33 kWh,-557 Wh,-5.20 kWh,7.80 kWh
2026-03-11 16:10:00,-763 Wh,0 Wh,-3.33 kWh,-558 Wh,-5.20 kWh,7.83 kWh
2026-03-11 16:20:00,-764 Wh,0 Wh,-3.34 kWh,-559 Wh,-5.21 kWh,7.85 kWh
2026-03-11 16:30:00,-765 Wh,0 Wh,-3.34 kWh,-560 Wh,-5.22 kWh,7.87 kWh
2026-03-11 16:40:00,-766 Wh,0 Wh,-3.35 kWh,-560 Wh,-5.23 kWh,7.89 kWh
2026-03-11 16:50:00,-767 Wh,0 Wh,-3.35 kWh,-561 Wh,-5.23 kWh,7.91 kWh
2026-03-11 17:00:00,-768 Wh,0 Wh,-3.35 kWh,-562 Wh,-5.24 kWh,7.93 kWh
2026-03-11 17:10:00,-769 Wh,0 Wh,-3.36 kWh,-562 Wh,-5.25 kWh,7.94 kWh
2026-03-11 17:20:00,-770 Wh,0 Wh,-3.36 kWh,-563 Wh,-5.25 kWh,7.96 kWh
2026-03-11 17:30:00,-771 Wh,0 Wh,-3.37 kWh,-564 Wh,-5.26 kWh,7.97 kWh
2026-03-11 17:40:00,-772 Wh,0 Wh,-3.37 kWh,-565 Wh,-5.27 kWh,7.98 kWh
